product_name,price,supplier,properties,certifications,lead_days,lead_type,years_in_business,source_url
Spirulina Natural Colorant Empty Vegetarian Capsules,820.95,Capsuline,NONE,"[""PASSES-DISINTEGRATION"", ""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""EP-COMPLIANT"", ""PRESERVATIVE-FREE"", ""FDA-GRAS"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/colored-vegetarian-capsules-size-0-blue-blue-free-tio2
Vegetarian Capsules,826.95,Capsuline,NONE,"[""PASSES-DISINTEGRATION"", ""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""EP-COMPLIANT"", ""PRESERVATIVE-FREE"", ""FDA-GRAS"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/colored-empty-vegetarian-capsules-size-1-box-of-125-000
Clear Separated Capsules,19.95,Capsuline,NONE,"[""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""PRESERVATIVE-FREE"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/capsuline-separated-size-0-clear-gelatin-empty-capsules
Gelatin Capsules for Pets,1500.95,Capsuline,NONE,"[""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""PRESERVATIVE-FREE"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/petcaps-trade-chicken-flavored-size-1
Colored Empty Vegetarian Capsules,749.95,Capsuline,NONE,"[""PASSES-DISINTEGRATION"", ""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""EP-COMPLIANT"", ""PRESERVATIVE-FREE"", ""FDA-GRAS"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/titanium-dioxide-tio2-free-colored-empty-vegetarian-capsules-size-0-box-of-100-000
Vegetarian Acid Resistant Enteric Empty Capsules,NONE,Capsuline,"{""moisture_content"": ""4% to 10%"", ""expiration_date"": ""2.5 years"", ""temperature_limits"": ""59ºF (15ºC) to 77ºF (25ºC)"", ""humidity_limits"": ""50% to 70%"", ""microbial_quality"": {""total_aerobic_microbial_count"": ""NMT 1000 CFU / g"", ""salmonella_species"": ""Absence /10 g"", ""escherichia_coli"": ""Absence /1 g"", ""pseudomonas_aeruginosa"": ""Absence /1 g"", ""staphylococcus_aureus"": ""Absence /1 g"", ""total_combined_yeast_and_molds_count"": ""NMT 100 CFU /g""}, ""capsule_weights"": {""00E"": ""143.0 ± 5 mg"", ""00"": ""136.0 ± 7 mg"", ""0E"": ""119.0 ± 6 mg"", ""0"": ""105.0 ± 6 mg"", ""1"": ""79.0 ± 5 mg"", ""2"": ""63.0 ± 4 mg"", ""3"": ""50.0 ± 3 mg"", ""4"": ""40.0 ± 3 mg""}, ""capsule_dimensions"": {""00E"": {""length"": ""13.00 ± 0.35 mm"", ""body_length"": ""22.35 ± 0.35 mm""}, ""00"": {""length"": ""11.80 ± 0.35 mm"", ""body_length"": ""20.10 ± 0.35 mm""}, ""0E"": {""length"": ""11.73 ± 0.35 mm"", ""body_length"": ""20.19 ± 0.35 mm""}, ""0"": {""length"": ""10.85 ± 0.35 mm"", ""body_length"": ""18.35 ± 0.35 mm""}, ""1"": {""length"": ""9.85 ± 0.35 mm"", ""body_length"": ""16.40 ± 0.35 mm""}, ""2"": {""length"": ""8.80 ± 0.35 mm"", ""body_length"": ""15.15 ± 0.35 mm""}, ""3"": {""length"": ""8.00 ± 0.35 mm"", ""body_length"": ""13.45 ± 0.35 mm""}, ""4"": {""length"": ""7.20 ± 0.35 mm"", ""body_length"": ""12.10 ± 0.35 mm""}}}","[""PASSES-DISINTEGRATION"", ""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""EP-COMPLIANT"", ""PRESERVATIVE-FREE"", ""FDA-GRAS"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/vegetarian-acid-resistant-enteric-empty-capsules-size-0-box-of-125-000
Pullulan Vegetarian Capsules,19.95,Capsuline,NONE,"[""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""PRESERVATIVE-FREE"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/clear-vegetarian-pullulan-capsules-size-00-p
Chicken Flavored Empty Capsules,9.95,Capsuline,NONE,"[""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""PRESERVATIVE-FREE"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/capsuline-petcaps-chicken-flavored-gelatin-empty-capsules-size-3
Vegetarian Capsules,1139.95,Capsuline,NONE,"[""PASSES-DISINTEGRATION"", ""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""EP-COMPLIANT"", ""PRESERVATIVE-FREE"", ""FDA-GRAS"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/clear-vegetarian-capsules-size-2-box-of-175-000
Empty Gelatin Capsules,11.95,Capsuline,NONE,"[""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""PRESERVATIVE-FREE"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/clear-size-00-empty-gelatin-capsules-by-capsuline
Clear Empty Gelatin Capsules,721.95,Capsuline,NONE,"[""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""PRESERVATIVE-FREE"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/clear-size-5-empty-gelatin-capsules-by-capsuline
Chlorophyll Empty Vegetarian Capsules,33.95,Capsuline,NONE,"[""PASSES-DISINTEGRATION"", ""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""EP-COMPLIANT"", ""PRESERVATIVE-FREE"", ""FDA-GRAS"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/capsuline-chlorophyll-vegetarian-empty-capsules-size-00-green-green
Gelatin Capsules,15.95,Capsuline,NONE,"[""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""PRESERVATIVE-FREE"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/clear-size-3-empty-gelatin-capsules-by-capsuline
Gelatin Capsules,768.95,Capsuline,"{""solubility_temperature"":""98.6°F ± 1.8°F (37°C ± 1°C)"",""disintegration_time"":""15 minutes"",""moisture_content"":""13% - 16%"",""expiration_date"":""5 years"",""storage_temperature"":""59°F (15°C) - 77°F (25°C)"",""relative_humidity"":""35% - 65%"",""microbiological_quality"":{""total_aerobic_microbial_count"":""NMT 1000 CFU / g"",""salmonella_species"":""Absence /10 g"",""escherichia_coli"":""Absence/1 g"",""pseudomonas_aeruginosa"":""Absence /1 g"",""staphylococcus_aureus"":""Absence /1 g"",""total_combined_yeast_and_molds_count"":""NMT 100 CFU /g""},""capsule_weights"":{""000"":""163.0 ± 10 mg"",""00E"":""130.0 ± 10 mg"",""00"":""123.0 ± 7 mg"",""0E"":""107.0 ± 7 mg"",""0"":""99.0 ± 6 mg"",""1"":""76.0 ± 5 mg"",""2"":""61.0 ± 4 mg"",""3"":""48.0 ± 3 mg"",""4"":""38.0 ± 3 mg""},""individual_lengths"":{""000"":{""cap_length_mm"":""12.90 ± 0.35"",""body_length_mm"":""21.90 ± 0.35""},""00E"":{""cap_length_mm"":""12.94 ± 0.35"",""body_length_mm"":""22.38 ± 0.35""},""00"":{""cap_length_mm"":""11.80 ± 0.35"",""body_length_mm"":""20.10 ± 0.35""},""0E"":{""cap_length_mm"":""11.90 ± 0.35"",""body_length_mm"":""20.00 ± 0.35""},""0"":{""cap_length_mm"":""10.85 ± 0.35"",""body_length_mm"":""18.45 ± 0.35""},""1"":{""cap_length_mm"":""9.85 ± 0.35"",""body_length_mm"":""16.40 ± 0.35""},""2"":{""cap_length_mm"":""8.80 ± 0.35"",""body_length_mm"":""15.15 ± 0.35""},""3"":{""cap_length_mm"":""8.00 ± 0.35"",""body_length_mm"":""13.45 ± 0.35""},""4"":{""cap_length_mm"":""7.20 ± 0.35"",""body_length_mm"":""12.10 ± 0.35""}},""external_diameters"":{""000"":{""cap_diameter_mm"":""9.94"",""body_diameter_mm"":""9.55""},""00E"":{""cap_diameter_mm"":""8.58"",""body_diameter_mm"":""8.25""},""00"":{""cap_diameter_mm"":""8.56"",""body_diameter_mm"":""8.23""},""0E"":{""cap_diameter_mm"":""7.66"",""body_diameter_mm"":""7.35""},""0"":{""cap_diameter_mm"":""7.65"",""body_diameter_mm"":""7.35""},""1"":{""cap_diameter_mm"":""6.96"",""body_diameter_mm"":""6.63""},""2"":{""cap_diameter_mm"":""6.39"",""body_diameter_mm"":""6.12""},""3"":{""cap_diameter_mm"":""5.85"",""body_diameter_mm"":""5.60""},""4"":{""cap_diameter_mm"":""5.33"",""body_diameter_mm"":""5.08""}},""joining_lengths"":{""000"":""26.00 ± 0.30 mm"",""00E"":""25.40 ± 0.30 mm"",""00"":""23.40 ± 0.30 mm"",""0E"":""23.40 ± 0.30 mm"",""0"":""21.60 ± 0.30 mm"",""1"":""19.40 ± 0.30 mm"",""2"":""17.60 ± 0.30 mm"",""3"":""15.70 ± 0.30 mm"",""4"":""14.30 ± 0.30 mm""},""approximate_content_filled_capsule"":{""density"":{""0.6_g_ml"":{""000"":""822"",""00E"":""612"",""00"":""570"",""0E"":""462"",""0"":""408"",""1"":""288"",""2"":""216"",""3"":""162"",""4"":""120""},""0.8_g_ml"":{""000"":""1,096"",""00E"":""816"",""00"":""760"",""0E"":""616"",""0"":""544"",""1"":""384"",""2"":""288"",""3"":""216"",""4"":""160""},""1.0_g_ml"":{""000"":""1,370"",""00E"":""1,020"",""00"":""950"",""0E"":""770"",""0"":""680"",""1"":""480"",""2"":""360"",""3"":""270"",""4"":""200""},""1.2_g_ml"":{""000"":""1,644"",""00E"":""1,224"",""00"":""1,140"",""0E"":""924"",""0"":""816"",""1"":""576"",""2"":""432"",""3"":""324"",""4"":""240""}}}","[""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""PRESERVATIVE-FREE"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/separated-empty-gelatin-capsules-size-0-box-of-100-000
Clear 00 Separated Capsules,29.95,Capsuline,NONE,"[""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""PRESERVATIVE-FREE"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/capsuline-separated-size-00-clear-gelatin-empty-capsules
Enteric Capsules,NONE,Capsuline,"{""moisture_content"": ""4% to 10%"", ""expiration_date"": ""2.5 years"", ""temperature_range"": ""59ºF (15ºC) to 77ºF (25ºC)"", ""humidity_range"": ""50% to 70%"", ""total_aerobic_microbial_count"": ""NMT 1000 CFU / g"", ""salmonella_species"": ""Absence /10 g"", ""escherichia_coli"": ""Absence /1 g"", ""pseudomonas_aeruginosa"": ""Absence /1 g"", ""staphylococcus_aureus"": ""Absence /1 g"", ""total_combined_yeast_and_molds_count"": ""NMT 100 CFU /g"", ""density"": {""0.6_g/ml"": {""00E"": 612, ""00"": 570, ""0E"": 462, ""0"": 408, ""1"": 288, ""2"": 216, ""3"": 162, ""4"": 120}, ""0.8_g/ml"": {""00E"": 816, ""00"": 760, ""0E"": 616, ""0"": 544, ""1"": 384, ""2"": 288, ""3"": 216, ""4"": 160}, ""1.0_g/ml"": {""00E"": 1020, ""00"": 950, ""0E"": 770, ""0"": 680, ""1"": 480, ""2"": 360, ""3"": 270, ""4"": 200}, ""1.2_g/ml"": {""00E"": 1224, ""00"": 1140, ""0E"": 924, ""0"": 816, ""1"": 576, ""2"": 432, ""3"": 324, ""4"": 240}}}","[""PASSES-DISINTEGRATION"", ""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""EP-COMPLIANT"", ""PRESERVATIVE-FREE"", ""FDA-GRAS"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/vegetarian-acid-resistant-enteric-empty-capsules-size-00-box-of-75-000
Spirulina Natural Colorant Empty Vegetarian Capsules,847.95,Capsuline,NONE,"[""PASSES-DISINTEGRATION"", ""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""EP-COMPLIANT"", ""PRESERVATIVE-FREE"", ""FDA-GRAS"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/colored-vegetarian-capsules-size-00-blue-blue-free-tio2
Gelatin Capsules,928.95,Capsuline,"{""solubility_temperature"":""98.6°F ± 1.8°F (37°C ± 1°C)"",""disintegration_time"":""15 minutes"",""moisture_content"":""13% to 16%"",""expiration_date"":""5 years"",""storage_temperature"":""59°F (15°C) to 77°F (25°C)"",""relative_humidity"":""35% to 65%"",""microbial_quality"":{""total_aerobic_microbial_count"":""NMT 1000 CFU/g"",""salmonella_species"":""Absence/10 g"",""escherichia_coli"":""Absence/1 g"",""pseudomonas_aeruginosa"":""Absence/1 g"",""staphylococcus_aureus"":""Absence/1 g"",""total_combined_yeast_and_molds_count"":""NMT 100 CFU/g""},""capsule_weights"":{""000"":""163.0 ± 10 mg"",""00E"":""130.0 ± 10 mg"",""00"":""123.0 ± 7 mg"",""0E"":""107.0 ± 7 mg"",""0"":""99.0 ± 6 mg"",""1"":""76.0 ± 5 mg"",""2"":""61.0 ± 4 mg"",""3"":""48.0 ± 3 mg"",""4"":""38.0 ± 3 mg""},""individual_lengths"":{""000"":{""cap_length"":""12.90 ± 0.35 mm"",""body_length"":""21.90 ± 0.35 mm""},""00E"":{""cap_length"":""12.94 ± 0.35 mm"",""body_length"":""22.38 ± 0.35 mm""},""00"":{""cap_length"":""11.80 ± 0.35 mm"",""body_length"":""20.10 ± 0.35 mm""},""0E"":{""cap_length"":""11.90 ± 0.35 mm"",""body_length"":""20.00 ± 0.35 mm""},""0"":{""cap_length"":""10.85 ± 0.35 mm"",""body_length"":""18.45 ± 0.35 mm""},""1"":{""cap_length"":""9.85 ± 0.35 mm"",""body_length"":""16.40 ± 0.35 mm""},""2"":{""cap_length"":""8.80 ± 0.35 mm"",""body_length"":""15.15 ± 0.35 mm""},""3"":{""cap_length"":""8.00 ± 0.35 mm"",""body_length"":""13.45 ± 0.35 mm""},""4"":{""cap_length"":""7.20 ± 0.35 mm"",""body_length"":""12.10 ± 0.35 mm""}},""external_diameters"":{""000"":{""cap_diameter"":""9.94 mm"",""body_diameter"":""9.55 mm""},""00E"":{""cap_diameter"":""8.58 mm"",""body_diameter"":""8.25 mm""},""00"":{""cap_diameter"":""8.56 mm"",""body_diameter"":""8.23 mm""},""0E"":{""cap_diameter"":""7.66 mm"",""body_diameter"":""7.35 mm""},""0"":{""cap_diameter"":""7.65 mm"",""body_diameter"":""7.35 mm""},""1"":{""cap_diameter"":""6.96 mm"",""body_diameter"":""6.63 mm""},""2"":{""cap_diameter"":""6.39 mm"",""body_diameter"":""6.12 mm""},""3"":{""cap_diameter"":""5.85 mm"",""body_diameter"":""5.60 mm""},""4"":{""cap_diameter"":""5.33 mm"",""body_diameter"":""5.08 mm""}},""joining_lengths"":{""000"":""26.00 ± 0.30 mm"",""00E"":""25.40 ± 0.30 mm"",""00"":""23.40 ± 0.30 mm"",""0E"":""23.40 ± 0.30 mm"",""0"":""21.60 ± 0.30 mm"",""1"":""19.40 ± 0.30 mm"",""2"":""17.60 ± 0.30 mm"",""3"":""15.70 ± 0.30 mm"",""4"":""14.30 ± 0.30 mm""}}","[""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""PRESERVATIVE-FREE"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/colored-empty-gelatin-capsules-size-3-box-of-200-000
Gelatin Capsules,1034.95,Capsuline,"{""solubility_temperature"":""98.6°F ± 1.8°F (37°C ± 1°C)"",""disintegration_time"":""15 minutes"",""moisture_content"":""13% - 16%"",""expiration_date"":""5 years"",""storage_temperature"":""59°F (15°C) - 77°F (25°C)"",""relative_humidity"":""35% - 65%"",""microbial_quality"":{""total_aerobic_microbial_count"":""NMT 1000 CFU/g"",""salmonella_species"":""Absence/10 g"",""escherichia_coli"":""Absence/1 g"",""pseudomonas_aeruginosa"":""Absence/1 g"",""staphylococcus_aureus"":""Absence/1 g"",""total_combined_yeast_and_molds_count"":""NMT 100 CFU/g""},""capsule_weights"":{""000"":""163.0 ± 10 mg"",""00E"":""130.0 ± 10 mg"",""00"":""123.0 ± 7 mg"",""0E"":""107.0 ± 7 mg"",""0"":""99.0 ± 6 mg"",""1"":""76.0 ± 5 mg"",""2"":""61.0 ± 4 mg"",""3"":""48.0 ± 3 mg"",""4"":""38.0 ± 3 mg""},""dimensions"":{""length"":{""000"":{""cap_length_mm"":""12.90 ± 0.35"",""body_length_mm"":""21.90 ± 0.35""},""00E"":{""cap_length_mm"":""12.94 ± 0.35"",""body_length_mm"":""22.38 ± 0.35""},""00"":{""cap_length_mm"":""11.80 ± 0.35"",""body_length_mm"":""20.10 ± 0.35""},""0E"":{""cap_length_mm"":""11.90 ± 0.35"",""body_length_mm"":""20.00 ± 0.35""},""0"":{""cap_length_mm"":""10.85 ± 0.35"",""body_length_mm"":""18.45 ± 0.35""},""1"":{""cap_length_mm"":""9.85 ± 0.35"",""body_length_mm"":""16.40 ± 0.35""},""2"":{""cap_length_mm"":""8.80 ± 0.35"",""body_length_mm"":""15.15 ± 0.35""},""3"":{""cap_length_mm"":""8.00 ± 0.35"",""body_length_mm"":""13.45 ± 0.35""},""4"":{""cap_length_mm"":""7.20 ± 0.35"",""body_length_mm"":""12.10 ± 0.35""}},""external_diameter"":{""000"":{""cap_diameter_mm"":""9.94"",""body_diameter_mm"":""9.55""},""00E"":{""cap_diameter_mm"":""8.58"",""body_diameter_mm"":""8.25""},""00"":{""cap_diameter_mm"":""8.56"",""body_diameter_mm"":""8.23""},""0E"":{""cap_diameter_mm"":""7.66"",""body_diameter_mm"":""7.35""},""0"":{""cap_diameter_mm"":""7.65"",""body_diameter_mm"":""7.35""},""1"":{""cap_diameter_mm"":""6.96"",""body_diameter_mm"":""6.63""},""2"":{""cap_diameter_mm"":""6.39"",""body_diameter_mm"":""6.12""},""3"":{""cap_diameter_mm"":""5.85"",""body_diameter_mm"":""5.60""},""4"":{""cap_diameter_mm"":""5.33"",""body_diameter_mm"":""5.08""}}}","[""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""PRESERVATIVE-FREE"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/clear-gelatin-capsules-size-3-box-of-200-000
Chlorophyll Empty Vegetarian Capsules,922.95,Capsuline,NONE,"[""PASSES-DISINTEGRATION"", ""USP-GRADE"", ""KOSHER"", ""MICROBIOLOGICALLY-TESTED"", ""EP-COMPLIANT"", ""PRESERVATIVE-FREE"", ""FDA-GRAS"", ""HALAL""]",NONE,NONE,NONE,https://eu.capsuline.com/products/chlorophyll-vegetarian-capsules-size-00-green-green
