supplier_id,name,website,hq_country,hq_city,category,specialty,certifications,notes,n_products_in_db,n_companies_in_db,priority_level,primary_scraping_method,llm_evaluation,catalog_paths,bot_protected,login_wall_detected
1,ADM,https://www.adm.com,USA,Chicago IL,Ingredient Distributor / Manufacturer,"Oils, lecithins, plant proteins, MCT, omega-3","Non-GMO, Organic, Kosher, Halal",Global commodity ingredient giant; strong in fats/oils and plant-based proteins,36,25,Normal,Static/Requests,REQUIRES_LOGIN,"/en-us/products-services/animal-nutrition/species/ruminant/, /en-us/products-services/animal-nutrition/species/, /en-us/products-services/human-nutrition/products/beans-pulses-seeds/",False,True
2,AIDP,https://www.aidp.com,USA,City of Industry CA,Specialty Ingredient Distributor,"Branded ingredients, botanicals, probiotics, collagen","Kosher, Halal, Non-GMO","Exclusive US distributor for many branded/patented ingredient suppliers (e.g. Kaneka, GanedenBC30)",11,5,Normal,Dynamic/Selenium,NO_DATA,"https://ingredients.aidp.com/#immunityc, http://ingredients.aidp.com/#brainc, http://ingredients.aidp.com/#sleepc",True,False
3,Actus Nutrition,https://www.actusnutrition.com,USA,Lake View NY,Dairy Ingredient Manufacturer,"Whey protein isolate/concentrate, casein, milk protein","NSF, Informed Sport, SQF, Kosher",US-based dairy processor; strong in sports nutrition proteins; vertically integrated,23,14,Normal,Failed,NO_DATA,,False,False
4,American Botanicals,https://www.americanbotanicals.com,USA,Evansville IN,Botanical Ingredient Supplier,"Herbal extracts, botanical powders, plant-based actives","Organic, Kosher, cGMP",Specializes in standardized botanical extracts for dietary supplements,33,12,Normal,Dynamic/Selenium,NO_DATA,"/products/wholesale-spice/, /products/wholesale-carob/, https://americanbotanicals.com/products-overview/",True,False
5,Ashland,https://www.ashland.com,USA,Wilmington DE,Specialty Chemical / Excipient Manufacturer,"Cellulose excipients (MCC, HPMC), coating systems, binders","USP/NF, EP, JP, cGMP",Major pharma excipient supplier; Benecel and Klucel product lines widely used in tablets/capsules,100,25,Normal,Dynamic/Selenium,NO_DATA,,True,False
6,Balchem,https://www.balchem.com,USA,New Hampton NY,Encapsulation & Mineral Ingredient Manufacturer,"Choline, mineral chelates, encapsulated nutrients","Kosher, Halal, cGMP",Known for VitaCholine and chelated minerals; encapsulation technology for heat-sensitive nutrients,22,14,Normal,Dynamic/Selenium,NO_DATA,https://www.onetrust.com/products/cookie-consent/,True,False
7,BulkSupplements,https://www.bulksupplements.com,USA,Henderson NV,B2B Bulk Ingredient Supplier,"Vitamins, amino acids, botanicals, sports nutrition inputs","cGMP, ISO 9001","Direct-to-manufacturer bulk ingredients; broad catalog, lower MOQs",6,4,High,Dynamic/Selenium,REQUIRES_LOGIN,"/products/vitamin-d3-and-k2-softgels, /products/moringa-powder#shopify-product-reviews, /products/n-acetyl-l-cysteine-nac",True,False
8,Cambrex,https://www.cambrex.com,USA,East Rutherford NJ,API / Fine Chemical Manufacturer,"Active pharmaceutical ingredients, fine chemicals","FDA-registered, cGMP, ICH Q7",Primarily pharma-facing; high-purity specialty actives,1,1,Normal,Static/Requests,REQUIRES_LOGIN,,False,False
9,Capsuline,https://www.capsuline.com,USA,Doral FL,Capsule Manufacturer,"Gelatin capsules, HPMC vegetarian capsules, softgels","Kosher, Halal, Vegetarian/Vegan, cGMP",Wide range of empty capsules in all sizes and colors; also offers contract filling,26,21,Normal,Dynamic/Selenium,VIABLE,"/products/copy-of-colored-empty-gelatin-capsules-size-00-box-of-75-2, /products/colored-empty-gelatin-capsules-size-0-box-of-100-000, /products/clear-gelatin-capsules-size-000-box-of-50-000",True,False
10,Cargill,https://www.cargill.com,USA,Minneapolis MN,Global Commodity Ingredient Manufacturer,"Starches, maltodextrin, citric acid, stevia, sweeteners, oils","Non-GMO, Organic, Kosher, Halal, RSPO",One of the world's largest food ingredient companies; strong in sweeteners (Truvia stevia) and texturizers,52,32,Normal,Static/Requests,NO_DATA,https://www.cargill.com/products,False,False
11,Colorcon,https://www.colorcon.com,USA,Harleysville PA,Pharmaceutical Excipient Manufacturer,"Film coatings, tablet binders, MCC, silicon dioxide, disintegrants","USP, EP, JP, cGMP",Global leader in pharmaceutical film coating systems and excipients; Opadry and Surelease product lines,109,27,Normal,Static/Requests,VIABLE,"https://www.colorcon.com/products/controlled-release/formulated-systems/corelease, https://www.colorcon.com/products/controlled-atmosphere-packaging, https://www.colorcon.com/products/film-coatings/nutraceutical-dietary-supplement/nutrafinish/high-performance-coating",False,False
12,Custom Probiotics,https://www.customprobiotics.com,USA,Glendale CA,Probiotic Ingredient Manufacturer,"Custom probiotic blends, Lactobacillus/Bifidobacterium strains","cGMP, Allergen-free",High-potency probiotic powders; custom strain combinations; no fillers/additives,3,3,Normal,Dynamic/Selenium,VIABLE,"http://www.customprobiotics.com/products.htm, https://www.customprobiotics.com/products",True,False
13,Darling Ingredients / Rousselot,https://www.rousselot.com,USA/Netherlands,Irving TX / Ghent,Gelatin & Collagen Ingredient Manufacturer,"Gelatin, collagen peptides, hydrolyzed collagen","Kosher, Halal, BSE/TSE-free, Non-GMO",Rousselot is the world's leading gelatin/collagen producer; Peptan collagen peptide brand,18,17,Normal,Static/Requests,VIABLE,"/rousselot/products/gelatins, /rousselot/products/science, /rousselot/products",False,False
14,FutureCeuticals,https://www.futureceuticals.com,USA,Momence IL,Botanical & Whole Food Ingredient Manufacturer,"Fruit/vegetable powders, coffeeberry, sport performance actives","Organic, Non-GMO, Kosher",Vertically integrated from farm to ingredient; known for CoffeeBerry and CarnoSyn beta-alanine distribution,1,1,Normal,Dynamic/Selenium,NO_DATA,"https://www.futureceuticals.com/products?product-type=clinically-researched, /products, https://www.futureceuticals.com/products?product-type=whole-vegetable-powders",True,False
15,Gold Coast Ingredients,https://www.goldcoastingredients.com,USA,Commerce CA,Flavor & Ingredient Distributor,"Natural flavors, colors, sweeteners, functional food ingredients","Kosher, Halal, Organic",West Coast specialty ingredient distributor; strong in flavors and natural colors,47,31,Normal,Dynamic/Selenium,NO_DATA,,False,False
16,IFF,https://www.iff.com,USA,New York NY,Global Flavor & Fragrance / Ingredient Manufacturer,"Natural flavors, extracts, enzymes, cultures, texturizers","Kosher, Halal, Non-GMO, Organic",One of the top 3 global flavor houses; acquired DuPont Nutrition & Biosciences (2021),1,1,Normal,Dynamic/Selenium,NO_DATA,,True,False
17,Icelandirect,https://www.icelandirect.com,USA,Seattle WA,Specialty Seafood Ingredient Importer,"Icelandic fish oil, omega-3 concentrates, marine ingredients","IFOS 5-star, Friend of the Sea, MSC",Direct importer of Icelandic marine oils; traceability from catch to capsule,1,1,Normal,Dynamic/Selenium,VIABLE,"/products/pet-omega-3-fish-oil-products/, https://icelandirect.com/products/squalane-and-squalene/, https://icelandirect.com/products/norwegian-salmon-oil/",True,False
18,Ingredion,https://www.ingredion.com,USA,Westchester IL,Global Starch & Ingredient Manufacturer,"Starches, maltodextrin, sweeteners, texturizers, plant proteins","Non-GMO, Organic, Kosher, Halal",Major global ingredient company; strong in clean-label texturizers and specialty starches,86,36,Normal,Static/Requests,VIABLE,"/na/en-us/ingredients/ingredient-product-families/purecircle-clean-taste-solutions, /na/en-us/ingredients",False,False
19,Jost Chemical,https://www.jostchemical.com,USA,St. Louis MO,Mineral Salt Manufacturer,"High-purity mineral salts: magnesium, zinc, calcium, iron, potassium","USP, FCC, ACS, cGMP",Specializes in ultra-high-purity mineral salts for pharmaceutical and nutraceutical use,191,44,Normal,Static/Requests,VIABLE,"https://www.jostchemical.com/products/ultra-pure-minerals-low-heavy-metals/, https://www.jostchemical.com/products/copper/, /products/",False,False
20,Koster Keunen,https://www.kosterkeunen.com,USA,Watertown CT,Wax & Lipid Ingredient Supplier,"Natural waxes, beeswax, carnauba wax, lipid excipients","Kosher, Non-GMO","Leading supplier of natural waxes for supplement coatings, lip care, and food applications",7,5,Normal,Dynamic/Selenium,VIABLE,https://www.kosterkeunen.com/products/,True,False
21,Magtein / ThreoTech LLC,https://www.magtein.com,USA,San Jose CA,Branded Ingredient Licensor,Magnesium L-threonate (Magtein),"Patented, cGMP",Exclusive supplier of Magtein (MgT); patented magnesium form shown to cross blood-brain barrier; MIT-developed,1,1,Normal,Failed,NO_DATA,,False,False
23,Mueggenburg USA,https://www.mueggenburg.com,USA,Houston TX,Chemical & Ingredient Distributor,"Specialty chemicals, food-grade raw materials, cosmetic ingredients",Varies by product,"Mid-size specialty distributor; broad portfolio across food, pharma, and personal care",30,12,Normal,Failed,NO_DATA,,False,False
24,Nutra Blend,https://www.nutrablend.com,USA,Neosho MO,Animal & Human Nutrition Ingredient Blender,"Vitamin/mineral premixes, custom blends","cGMP, FDA-registered",Primarily animal nutrition; also produces human nutrition vitamin/mineral premixes,9,6,Normal,Dynamic/Selenium,REQUIRES_LOGIN,/productsandservices,True,False
25,Nutra Food Ingredients,https://www.nutrafoodingredients.com,USA,San Diego CA,Specialty Ingredient Distributor,"Functional food ingredients, nutraceutical actives, botanical extracts",Varies by product,Specialty distributor focused on nutraceutical and functional food markets,11,9,Normal,Dynamic/Selenium,VIABLE,/products/,True,False
26,Nutri Avenue,https://www.nutriavenue.com,USA,Pomona CA,Bulk Ingredient Distributor,"Amino acids, vitamins, plant extracts, sports nutrition inputs","cGMP, ISO",B2B bulk ingredient supplier with broad catalog; competitive pricing,7,4,Normal,Dynamic/Selenium,NO_DATA,,True,False
27,Prinova USA,https://www.prinovausa.com,USA,Carol Stream IL,Global Ingredient Distributor,"Amino acids, vitamins, minerals, proteins, botanical extracts","Kosher, Halal, Non-GMO, Organic",One of the largest US ingredient distributors; huge catalog breadth across all supplement categories,408,60,Normal,Dynamic/Selenium,REQUIRES_LOGIN,"/eu/en/ingredients/vitamins-derivatives, /eu/en/ingredients/digestive-support, /eu/en/ingredients/workout-support",True,False
28,PureBulk,https://www.purebulk.com,USA,Roseburg OR,Direct Bulk Ingredient Supplier,"Vitamins, minerals, amino acids, nootropics, botanicals","cGMP, ISO 9001, Kosher",Direct-to-consumer and B2B bulk ingredients; very broad catalog; transparent lab testing,316,52,High,Dynamic/Selenium,VIABLE,"/products/n-acetyl-l-cysteine-nac, /products/cholecalciferol-vitamin-d3, /products/dhea-pregnenolone-1-1",True,False
30,Sensient,https://www.sensientfoodcolors.com,USA,Milwaukee WI,Color & Flavor Ingredient Manufacturer,"Natural colors, synthetic colors, flavor systems, specialty extracts","Kosher, Halal, Non-GMO, Organic",Global leader in natural and synthetic food colors; also produces flavors and specialty ingredient systems,7,3,Normal,Static/Requests,VIABLE,,False,False
31,Source-Omega LLC,https://www.source-omega.com,USA,Chapel Hill NC,Algae Omega-3 Ingredient Supplier,"Algal DHA/EPA, vegan omega-3 concentrates","Vegan, Non-GMO, Kosher",Specialty supplier of plant-based/algae-derived omega-3 fatty acids; vegan alternative to fish oil,1,1,Normal,Static/Requests,VIABLE,"/shop/omega-3--122/, http://www.source-omega.com/shop/omega-3--122.htm",False,False
32,Specialty Enzymes & Probiotics,https://www.specialtyenzymes.com,USA,Chino CA,Enzyme & Probiotic Ingredient Manufacturer,"Digestive enzymes, systemic enzymes, probiotic cultures","Kosher, Halal, cGMP",US manufacturer of enzyme blends and probiotic ingredients for dietary supplements,3,3,Normal,Dynamic/Selenium,REQUIRES_LOGIN,"https://specialtyenzymes.com/products/sports-nutrition/, http://specialtyenzymes.com/products/systemic-enzymes/, https://specialtyenzymes.com/products/systemic-enzymes/peptizyme-sp/",True,False
33,Spectrum Chemical,https://www.spectrumchemical.com,USA,New Brunswick NJ,Laboratory & Industrial Chemical Distributor,"USP/NF reference standards, fine chemicals, lab reagents","USP, ACS, FCC, cGMP",Broad-catalog chemical distributor; USP-grade materials for pharma/nutra validation and production,7,7,Normal,Dynamic/Selenium,NO_DATA,,True,False
34,Stauber,https://www.stauber.com,USA,Fullerton CA,Specialty Ingredient Distributor,"Functional food ingredients, nutraceutical actives, personal care inputs",Varies by product,"West Coast specialty distributor across food, supplement, and personal care markets",1,1,Normal,Failed,NO_DATA,,False,False
35,Strahl & Pitsch,https://www.strahlpitsch.com,USA,West Babylon NY,Wax & Specialty Lipid Manufacturer,"Natural waxes, beeswax, carnauba, rice bran wax, specialty fats","Kosher, Non-GMO",US manufacturer and importer of natural waxes and specialty fats for supplements and food coatings,7,5,Normal,Dynamic/Selenium,VIABLE,"/products/candle-waxes, /products/usp-nf-and-ep-monograph-waxes, /products/carnauba-wax",True,False
36,TCI America,https://www.tcichemicals.com,USA,Portland OR,Fine Chemical / Research Chemical Supplier,"High-purity fine chemicals, biochemicals, building blocks","ACS, EP, USP (varies)",US arm of TCI (Japan); primarily research-grade chemicals; pharma and specialty ingredient use,1,1,Normal,Failed,NO_DATA,,False,False
37,Trace Minerals,https://www.traceminerals.com,USA,Ogden UT,Mineral Ingredient Manufacturer,"ConcenTrace ionic minerals, trace mineral complexes, electrolytes","Non-GMO, Vegan, Gluten-free",Known for Great Salt Lake-derived trace mineral concentrates; strong in ionic/colloidal minerals,3,3,Normal,Dynamic/Selenium,VIABLE,"/products/zerolyte-canisters, /products/ionic-d3-k2, /products/concentrace-trace-mineral-drops",True,False
38,Univar Solutions,https://www.univarsolutions.com,USA,Downers Grove IL,Global Chemical & Ingredient Distributor,"Broad chemical distribution: citric acid, excipients, functional ingredients",Varies by product,"One of the world's largest chemical distributors; covers food, pharma, and industrial segments",32,24,Normal,Dynamic/Selenium,NO_DATA,,True,False
39,Virginia Dare,https://www.virginiadare.com,USA,Brooklyn NY,Flavor Ingredient Manufacturer,"Natural and artificial flavors, vanilla extracts, flavor systems","Kosher, Halal, Non-GMO",Specialty flavor house with 100+ year history; known for vanilla and custom flavor solutions,6,6,Normal,Static/Requests,NO_DATA,,False,False
